高楼上谁穿着青袍眺望，就像望春台边随风飘扬的青旗。	青旂遥倚望春台	青山遥望下邳门	春旗已在望春台	旌旗遥倚望春台
把它栽在半月形的花盆里，培上香泥，浇上水。	水灌香泥却月盘	新泥滑滑路盘盘	陂水芹香紫燕泥	水满盘中月在天
船过黄州，风帆浴着冰冷的日光。	一帆寒日过黄州	一帆寒日过梅村	一帆风雨到杭州	一帆风软过扬州
不慕世人灿烂前程。	谁羡前程未可涯	数程犹未到天涯	肯念前程杳未期	升沉谁复问前程
遍地黄茅的尽头便是海边。	望尽黄茆是海边	黄茅望断瘴云边	望尽黄茅是海边	望尽云山粤海边
春天到了，我却没有出游的玩伴。	春来无伴闲游少	春来结伴共闲行	欲作闲游无好伴	春来无伴与猖狂
傍晚的溪边，渔樵乘船回村。	薄暮渔樵乘水入	薄暮归渔认拥蓑	薄暮归来渔火闹	薄暮渔樵人去尽
统一大业终究难以完成。	中原逐鹿不由人	中原逐鹿不因人	中原逐鹿人谁是	中原逐鹿我何堪
在万里炎荒之地频频回首往事。	炎荒万里频回首	此时万里休回首	征途百里频回首	南游万里频回首
公侯们个个想像王浚梦刀升迁那样离开那里。	个个公卿欲梦刀	个个长于金错刀	真个愁来真似梦	不愿公卿属个人
帷幔和翠色的羽被被撒上郁金香料。	罗帷翠被郁金香	罗帷绣被卧春风	象床鸳被郁金香	缕金罗袖郁金裙
如果说唐玄宗真认为杨贵妃具有倾覆邦国之能。	君王若道能倾国	到得君王识倾国	谁道君王大有为	可惜君王损国威
为官出游却随江水滚滚飘然东入海。	宦游直送江入海	吟寄韩江入海间	堪笑宦游江海客	又送江流入海东
我也曾为学道而钻研道经与学仙。	余尝学道穷冥筌	学道穷年何所得	学道通玄两未便	读书学道好穷源
深广，壮丽的贵族府里按着节拍演歌舞。	朱门沉沉按歌舞	回首朱门歌舞地	朱门歌舞争新态	朱门几处看歌舞
我们俩同是天涯沦落的可悲人。	同是天涯沦落人	同是天涯浪迹人	合是天涯沦落客	同是天涯沦落客
我现在停下酒杯且一问之。	我今停杯一问之	且为停杯一问天	太白停杯以问之	我试停杯一问之
明月高高地照耀着鳷鹊楼。	明月还过鳷鹊楼	鳷鹊楼前月正明	月明还上武昌楼	待渠明月过楼来
树头升起的初日象挂着铜钲。	树头初日挂铜钲	城头初日始翻鸦	树头初日照西檐	山颠初日挂铜钲
浪荡的人啊，你从军十多年了。	荡子从戎十载馀	束发从戎十五年	荡子从戎不到家	十载从戎百战归
昨天屋内外还挤满了人。	昨日屋头堪炙手	昨日街头人卖饧	山头赤日炙手热	见说王门堪炙手
指挥千军万马非曹参萧何能比。	指挥若定失萧曹	指挥廊庙失萧曹	管教得志失萧曹	指挥若定风云娈
王昭君不幸遇到了画家毛延寿，改变了命运。	昭君偏遇毛延寿	昭君莫怨毛延寿	近来喜黜毛延寿	汉庭莫罪毛延寿
魏国官员驱车载运铜人，直向千里外的异地。	魏官牵车指千里	鼓车未数汉千里	驱车千里入居庸	命蹇盐车千里马
一枝淡红的杏花探出墙头。	一枝红杏出墙头	一枝红杏出墙来	数枝红杏出疏篱	一枝带雨墙头出
面对这样的景致无从吟起。	水光山色不胜悲	水光山色不胜奇	水光山色恨难禁	水光山色解人愁
她的婢女捧上黄金的盘子，里面盛着烹制精细的鲤鱼。	侍女金盘脍鲤鱼	为羡清尊脍鲤鱼	金盘飞脍进银鳞	金盘斫脍鲤鱼肥
不要想身外无数的事情。	莫思身外无穷事	自馀身外无穷事	退之身外无穷事	反思身外无穷事
主人持酒相劝，相祝身体健康。	主人奉觞客长寿	长奉主人千岁乐	主人爱客千金寿	主人敬客奉觞酒
连绵起伏的山脉与层层翠染的幽林送来隆隆雨声。	万壑千林送雨声	万壑千峰送客舟	万壑松涛送雨声	千林万壑寂无声
卢照邻和骆宾王四杰在当时的时代条件下，他们的作品已经达到最高的造诣。	轻薄为文哂未休	风雨相轻恨未休	轻薄为文莫浪猜	为语儿曹休自薄
为何偏把西方一角烘烤！	何事偏烘西一隅	西郎何事面西方	生成偏僻一隅地	偏隅景物亦何嫌
去年米贵军粮缺乏。	去年米贵阙军食	年丰米谷上街贱	去年今日城中价	今年米贵无钱籴
听说每天鸡鸣时分在这可以看到旭日升起。	闻说鸡鸣见日升	日日鸡鸣催日出	鸡唱朝闻见日巅	曾说闻鸡先见日
又像在弯腰而舞，郁金裙子正争相回旋。	折腰争舞郁金裙	细腰争舞郁金裙	郁金裙转舞腰新	泥金折损舞衣罗
人间又见古代真正神马“乘黄”。	人间又见真乘黄	又向人间见此模	写出人间真乘黄	貌得人间真乘黄
自以为他有仙风道骨。	自是君身有仙骨	知君自有灵仙骨	君身自是有仙骨	玉龙自是神仙骨
三顾茅庐频繁的商论天下大计。	三顾频烦天下计	三顾岂无天下计	宠光向晚频烦下	三顾频烦下草庐
纵然战死还留下侠骨芬芳。	纵死犹闻侠骨香	永劫应闻侠骨香	身死犹闻侠骨香	忠臣虽死骨犹香
龙种与布衣相比，自然来得高雅。	龙种自与常人殊	蕊宫自与人间异	云英自与世姬殊	天潢龙种与人殊
将军接受赐盘叩拜皇恩回归。	盘赐将军拜舞归	天华拜舞君王赐	敕赐黄金拜舞归	一自将军赐剑归
她用能弹出美妙声音的手拨动黄金做的杆拨。	黄金杆拨春风手	黄金锁断薰风起	黄金屋里春风面	新声不用黄金拨
冰冷的翡翠被里谁与君王同眠？	翡翠衾寒谁与共	翡翠衾寒几度春	翡翠衾寒怅独眠	帐冷衾寒怨阿谁
你头上的角啊，皇帝有用要征收。	官家截尔头上角	自家头上不曾饶	崭然头角翁家儿	腰上葫芦头上羽
像吕尚垂钓溪，闲待东山再起。	闲来垂钓碧溪上	垂钓溪门月上时	能来把钓溪台上	晚来闲上钓鳊槎
女巫的脸色仿佛由鬼神主宰，喜怒不时在变幻。	神嗔神喜师更颜	老师更说神灵事	鬼神阴怒见嗔颜	精神拜舞龙颜喜
秋风中跨战马纵横驰骋， 收复了大散关捷报频传。	铁马秋风大散关	秋风匹马入榆关	秋风骏马大梁城	匹马秋风大散关
皇恩浩荡如果准许留在太学。	圣恩若许留太学	圣恩若许求帷盖	圣主恩深又许还	圣主恩深太宰还
辽阔的远方哪里还有中国的疆土！	天涯何处是神州	何处天涯何处家	天涯何处是红尘	何处天涯是乡国
愁满心怀常使我悲苦啊。	愁悄悄之常悲兮	羁愁悄悄成危坐	忧心悄悄亦何为	适我愠于心悄悄
万树桃花掩映着小楼。	万树桃花映小楼	万树桃花两岸齐	千树桃花映粉楼	万树桃花锦一川
《桃叶歌》表达了爱情，《竹枝词》诉说着哀愁。	桃叶传情竹枝怨	桃叶有情还唤渡	桃叶竹枝无限意	柳枝桃叶入春情
银河两岸的流云们，调皮地模仿着水声叮咚。	银浦流云学水声	银浦流云入绮寮	银浦流云入梦香	学听流云作水声
池塘中的这只鹤是鹤中稀有的品种。	池中此鹤鹤中稀	不见此中猿鹤侣	溪中放鹤洞中棋	山中异鹤曾惊矢
有人传话说您游江东去了。	有人传道游江东	有伊洛间传道功	有人高唱大江东	闻道将游东鲁地
口里依旧哼着开元盛世的太平歌曲。	犹唱开元太平曲	此是开元太平曲	把秧犹唱太平歌	谁料开元太平曲
绫花绫罗衣裳映衬暮春风光。	绣罗衣裳照暮春	春风吹上绣罗衣	绣罗新制舞衣鲜	绣衣金带照青春
你看那些健壮的大笋都是奇伟非凡之材。	君看母笋是龙材	坐看母竹长龙材	使君兼是世龙孙	请君来看化龙枝
策马赶到兰台，像随风飘转的蓬蒿。	走马兰台类转蓬	走马兰台类断蓬	西风骑马转蓬前	匹马飘然似转蓬
听歌看舞淹留在豪华﹑珍贵的玳瑁宴席。	歌舞淹留玳瑁筵	绮馆留宾玳瑁筵	曾醉王孙玳瑁筵	清歌妙舞玳筵开
微微风里波涛万顷阵阵荡漾起细鳞。	微风万顷靴文细	苹叶微风动细波	且看微风作细涟	靴文万顷夕风柔
在羯鼓争催的情况下，弦歌并起，舞姿柔曼，柳宠花娇。	玉奴弦索花奴手	手中白羽趁花奴	玉奴手上诗情好	玉奴何必减花奴
全天下各地区千万座城池。	天下郡国向万城	代郡城中十万家	天兵十万下东国	天津城下万艘屯
她那动听的歌声又岂会在人间听闻。	歌声岂合世间闻	莫遣高歌世上闻	何意声名世外闻	声闻宁藉世间音
您也归家渡过了渭桥。	君亦归家渡渭桥	去日同君过渭桥	我亦携家向海滨	甚欲移家渡江水
长满青草的小道像少女的绿色裙腰弯弯斜斜。	草绿裙腰一道斜	裙腰草色趁阶斜	草绿裙腰一径开	裙腰一道翠烟迷
绽出嫩芽一片嫩黄比丝柔软。	嫩于金色软于丝	软于吹絮细于丝	软于春絮腻于膏	嫩于春笋白于霜
将军的手冻得拉不开弓。	将军角弓不得控	腰间角弓不可张	有个将军不得名	将军弓箭不离身
我整日坐在空荡荡的书屋，沉默不语，愁绪难奈。	空斋不语坐高舂	高斋夜坐语喃喃	独坐空斋听叶啸	高斋不语四山空
沿墙绕柱东看西樵寻找你的题诗。	循墙绕柱觅君诗	吟着君诗绕树行	坏墙闲觅十年题	绕柱巡墙尚有人
宦官骑马飞驰不敢扬起灰尘。	黄门飞鞚不动尘	黄门飞鞚到天坛	游骑飞缰不动尘	使轺飞鞚不惊尘
我忽然来到了庞公隐居之地。	忽到庞公栖隐处	忽辨庞公栖隐处	欲识先生栖隐处	来到梁鸿栖隐地
怕是难以再见。	凤笙去去无穷已	凤凰已去无遗响	凤笙龙管杳无声	凤笙去去无边已
你们怎么能诋毁中伤我的道义所在。	尔辈何伤吾道在	吾道何伤举世非	顾己自知吾道在	尔辈何劳尚世情
有人在渭桥的西边刺杀官吏。	探丸借客渭桥西	探丸直向杜陵北	借问板桥驴背客	中州岂借探丸客
贺兰山下战士们列阵如云。	贺兰山下阵如云	贺兰山下少行人	玉台山下草如茵	贺兰山下阵云横
替我告诉乘车去西园游赏的人们。	为谢西园车马客	好谢门前车马客	东园车马盛淹留	为问洛阳车马客
精心挑选，供给天子的御马监。	岁时翦刷供帝闲	租赋无供丰岁闲	屡裁御府岁时供	薄田岁岁聊供祀
出洞后他不顾隔山隔水。	出洞无论隔山水	出山泉水休云浊	洞隔水帘迷绝境	流水下山人出洞
做这贫苦清寒的官，还不如你我在梦中随那南飞的秋雁，回到东湖，过那自由悠闲的归隐生活啊。	梦随秋雁到东湖	梦随飞橹到江头	梦随鸿雁到天涯	梦随流水到西湖
友人登程东去已望不见。	须臾望君不可见	怀君乐事不可见	望君不见复何情	望君不见心彷徨
七元星君坛前布满清幽的月光。	朝斗坛前山月幽	星斗阑干山月斜	子晋庙前山月明	月满石坛朝斗罢
乳鸦鸣啭，她也始终不为所动，真诚奉道。	落红满地乳鸦啼	满地残红落乳鸦	落红满地花初歇	黄花落尽乱鸦啼
红手帕都让她的眼泪湿透了。	红巾拭泪生氤氲	红巾不蘸儒生泪	红巾拭泪贵新花	微风巾袂细氤氲
路上的行人在观看墓前的石麟。	陌上行人看石麟	陌上行人汗如雨	马上行人看不厌	犹看陌上别行人
又有文星送入坟墓中来。	又送文星入夜台	忍送文星上碧天	目送文星彻上台	又有文星入紫微
玄宗出奔，折断金鞭又累死九马。	金鞭断折九马死	九折羊肠万马登	九马如飞不用鞭	金鞭折柳不肯下
它富贵华丽受到人们的极力赞美。	国色天香人咏尽	可怜国色天香种	国色天香春满亭	包藏国色与天香
牛郎与织女都体味着相聚的欢愉与离别的愁绪。	年年并在此宵中	十二年前此夜中	记得前年此夜中	年年长在月轮中
半世交往，亲密的情谊像流水般地过去。	半世交亲随逝水	半世梦随流水影	二世山河随逝水	故人强半随流水
牧童笑而不答遥指杏花山村。	牧童遥指杏花村	牧童遥指碧花丛	郡人遥指水西村	牧童休更指前村
宣王田猎驰骋岐阳多么英俊。	蒐于岐阳骋雄俊	雄猛新闻几俊才	洛阳平昔多豪俊	招手襄阳几俊豪
早听说你将要来此地与我相见。	闻道欲来相问讯	闻道春来解问经	如见桃根相问讯	不是君来相问讯
原来玉门关一带春风是吹不到的啊！	春风不度玉门关	可许春风度玉门	春风不度关门玉	春光不度玉门关
我现在有病心神错乱。	我今因病魂颠倒	所怜因病益愁魂	谁识病来颠倒想	因病今生真止酒
早春的清新景色，正是诗人的最爱。	诗家清景在新春	一春清景在诗家	诗家清兴在林泉	江南风物在新春
可惜如今却只有几只鹧鸪在王城故址上飞了。	只今惟有鹧鸪飞	草坡空有鹧鸪飞	春山惟有鹧鸪啼	祇今惟有鹧鸪飞
怎能让藩镇割据逞凶狂。	岂假鸱鸮在泮林	岂知鸣鹤在东林	托根岂必在山林	即有飞鸮集泮林
大自然虽然默默无言但却有情。	造物无言却有情	也知造物无情甚	造物无心却有情	造物不如君有情
隔着五岭你的诗章传到华山西麓。	隔岭篇章来华岳	二室西来连华岳	华岳三峰马上来	华干西来走嵩岳
此时号称中兴宋室，可有几个将领能克敌制胜呢。	中兴诸将谁降敌	中兴诸将果谁雄	中兴诸将应星辰	若论中兴诸将相
羊肠小道上车花催人困乏却不言苦。	摧轮不道羊肠苦	畏途何处不羊肠	羊肠世道不堪聊	驱车何地不羊肠
古时的遗迹消失在这荒废的乐游原里。	万古销沉向此中	万古消沈在此中	不堪万古此消沉	万古销沈向此中
三月春风吹拂，冰雪渐渐消融。	三月东风吹雪消	八月西风吹雪到	东风吹雪放新梅	二月东风吹雪飘
垂吊在空中的蛛丝冉冉飘动花枝静谧。	游丝冉冉花枝静	帘外游丝飞冉冉	冉冉游丝转日光	白日游丝冉冉牵
一年年过去马上就会老。	春去秋来老将至	春去秋来过石梁	春去春来人渐老	春去秋来浑未改
四万义军在同一天理慷慨阵亡。	四万义军同日死	十万英灵同日死	四万义军同日尽	二十四家同日死
他们世代聚居在武陵源。	居人共住武陵源	仙人家住武陵溪	人家疑是武陵源	居人说是武陵原
闲居无聊恨芳时白白流去。	人闲易有芳时恨	闲人也解有忙时	冬郎易得芳时恨	不许人闲别有春
这份情感寄托给天上的星星却没有人明了。	寄意寒星荃不察	寄迹朱明臈意寒	意在钩头不在星	岂有寒梅不共之
有好酒只拿去浇祭赵州的旧土。	有酒唯浇赵州土	有酒莫浇原上土	酒浇离思有青州	有酒惟浇赵州土
疾病缠身，更不适宜饮酒欢宴。	病来杯酒不相便	病来把酒不知厌	病来苦不胜杯杓	病来行乐酒相亲
扬鞭策马飞驰快似利箭；	扬鞭飞鞚疾如箭	青骢飞鞚疾如龙	铁骢抛鞚去如飞	鸾靴上马疾如飞
远眺你的船帆已经看不见了。	云帆望远不相见	片云相望不相识	望断碧云人不见	望断南云不见家
身边的紫骝马的嘶叫隆隆，落花纷纷飞去。	紫骝嘶入落花去	落花深处紫骝嘶	紫骝嘶去踏红尘	紫骝嘶断杏花风
真的是情意绵绵洒满天地间。	自是情多无处足	应是有情无着处	自叹多情是足愁	趣多无处不关愁
冬天到了，白天的时间就越来越短。	岁暮阴阳催短景	阴阳岁暮催偏疾	岁暮阴阳短景催	世上光阴催短景
山坡上草多牛儿不抬头。	入陂草多牛散行	平沙入暮多牛迹	水盛草深牛不动	牛羊散野春草短
我炽爱着仍遭受侵略和封建压迫的家园。	风雨如磐暗故园	漫山风雨黑如磐	故园风雨今宵梦	风雨如荼忆故吾
我坐看天空中浓密的乌云含着雨水喷洒在前方的山峦上。	坐看黑云衔猛雨	江黑坐看飞雨至	坐看飞雨激风雷	坐看银山捲坏云
年年花开只能自己独自攀折。	岁岁花开只自攀	岁岁花开古洞幽	岁岁花开他自春	岁岁花开一忆君
美人的艳骨已经化成兰麝之土。	艳骨已成兰麝土	夷齐双骨已成尘	由来艳骨伤尘土	艳骨百年成麝土
谁知道不能去边关的痛苦。	孰知不向边庭苦	不应便向戎庭老	不知心向谁边切	流水不知边塞苦
你有啥事那么忙啊一直不肯来？	有底忙时不肯来	有底忙时草唤愁	有底亏侬不好来	为底忙时不肯闲
随风飘来宫嫔的笑语，与它伴和。	风送宫嫔笑语和	风静时闻笑语妍	笑语风和彩服春	风送游人笑语温
水鸟带着波光在夕阳下飞翔。	水鸟带波飞夕阳	一水斜阳鸟不飞	水飞独鸟夕阳影	水禽飞起夕阳中
否则就会沿流失源，堕入齐，梁时期那种轻浮侧艳的后尘了。	恐与齐梁作后尘	恐与宁馨作后尘	闲与希夷作后尘	肯与林逋作后尘
记得当年朝上，雉尾扇开合如同祥云移回。	云移雉尾开宫扇	云移宫扇迎龙衮	云依雉尾开双扇	宫扇初交雉尾移
高耸的山峰终日云遮雾绕像戴着头巾。	幅巾终日面崔嵬	心惊尺幅纳崔嵬	终南山色空崔嵬	倒巾终日面岧峣
楼前的江水，一直通往江陵郡。	楼前流水江陵道	楼前尽日东流水	楼前流水不平鸣	门前流水似江村
杨树的枝条已经抽出嫩芽，在和煦的春风吹拂下，远看轻烟曼舞。	绿杨结烟垂袅风	绿杨袅袅未舒绵	垂杨袅袅尽拖烟	杨柳垂阴散绿烟
白马津边柳向白马城。	白马津边柳向城	边城杨柳路傍垂	白马津头驿路边	树里江边白马津
只有所南忠心仍不改。	只有所南心不改	只有归心不外驰	只有青山不改常	只有南山不改青
佩玉叮当贾至回到凤凰池头。	佩声归到凤池头	佩声归向凤池头	佩声遥出凤池头	鸡声犹忆凤池头
又在赶制冬天御寒的衣服了，白帝城上捣制寒衣的砧声一阵紧似一阵。	寒衣处处催刀尺	处处寒衣急砧杵	寒衣夫授催刀尺	砧声处处理寒衣
沈园已经不是原来的池阁亭台。	沈园非复旧池台	旧日池台今已非	沈园非是旧池台	小园也复有池台
但是人的一生当中，真正的青春时光又有多少呢？	能得几多时少年	能得几时年少身	几人能得少时休	百年能得几时好
沃州深山草堂闲居。	沃洲深处草堂闲	杏林深处草堂闲	草堂便在山深处	桃溪深处草堂幽
但他们还是龙文虎脊的千里马，可以为君王驾车。	龙文虎脊皆君驭	龙文虎脊渠皆有	人龙文虎玉精神	猛虎伏来龙驾驭
洛阳城里刮起了秋风。	洛阳城里见秋风	洛阳城里秋风起	不见洛阳城里人	洛阳城里春如锦
我曾在史书上拜读过您留下的诗文。	曾于青史见遗文	曾披唐史传遗烈	曾于金鉴读遗文	曾于信史见遗名
而河豚此时正要逆流而上，从大海回游到江河里来了。	正是河豚欲上时	正是葡萄上格时	正是乌鱼大上时	又是河豚欲上时
晚上洞庭湖畔停宿的无数大雁。	洞庭一夜无穷雁	洞庭一夜落清霜	天地无穷哀雁飞	九月边庭无雁来
有人便向皇上进谗，诬蔑此文偏私失实。	谗之天子言其私	惜哉此子巧言语	恩情亦各言其子	人言此邦公所私
不要说我们的音乐和歌声是因为被贬谪的哀愁。	莫道弦歌愁远谪	弦歌莫叹浮湘远	莫道阳江非远道	莫向樽前歌远别
下马坐在那里望着居庸关。	下马坐望居庸口	剧怜下马清晨望	莫向居庸城上望	戴星策马下居庸
