高楼上谁穿着青袍眺望，就像望春台边随风飘扬的青旗。	青旂遥倚望春台	青山遥望下邳门	春旗已在望春台	旌旗遥倚望春台
将军向皇帝上表，奏请班师。	表请回军掩尘骨	请缨犹自慕终军	千年玉骨掩尘沙	将军玉剑虏尘清
四角伸展挡住白日。	四角碍白日	白日匿西峤	蔽此白日色	白日持角弓
镜湖水面如明镜。	镜湖流水漾清波	桥头流水漾清漪	中流漾月清波碧	半湾流水漾清波
行船在渡口停驻不敢过江。	津口停舟渡不得	渡口舟横不见人	渡口有船招不得	扁舟拟渡不得渡
谁知到枯草能遇到春天和风。	谁知死草生华风	死草华风亦自同	不知芳草为谁生	谁云腐草无生意
巫师祝祷的声音像响虫一样鸣叫。	肸蠁巫言报	肸蚃此通诚	肸蚃荷神休	肸蚃伫灵歆
整年都不会有小吏来催租。	经年无吏叩柴荆	经年闲废闭柴荆	寻芳无客叩柴扉	蚕忌柴门无客叩
他们的生死荣枯自有时节决定。	荣枯自有时	荣枯自有分	荣枯各有时	荣枯无尽时
如何能有情尽桥呢？	何事名为情尽桥	归来何事为情牵	何事山名以九传	名为计事岂真情
犹如二龙争战以决雌雄，赤壁一战，曹操的楼船被一扫而空。	二龙争战决雌雄，赤壁楼船扫地空。	帐前斫案决大议，赤壁火船烧战旗。	当时一战雌雄决，绝似周郎赤壁烟。	三雄战争海水赤，欲揽英豪扶紫极。
小女子我伤感了，极目远眺，见江桥掩映于枫林之中，日已垂暮，咋还不见情郎乘船归来。	江桥掩映暮帆迟	渔舟掩映江南浦	春江帆影映斜曛	暮江乘月落帆迟
自己坐在空空的大堂里回忆往昔，以茶代酒，喝着聊着。	空堂坐相忆，酌茗聊代醉。	独坐空堂上，忧来与谁语。	烧灯聊共坐，酌酒向谁先。	草堂人未寝，相对共衔杯。
路过马嵬坡睹物思人徘徊不前。	到此踌躇不能去	踌躇不去欲何如	到此纵能休歇去	春从此去不踌躇
春天，山上的野桃花红艳艳的开的正旺，蜀江的江水拍着旁边的悬崖峭壁。	山桃红花满上头，蜀江春水拍山流。	满县桃花春不留，恩江江水逐君流。	缙云溪上缙云山，春水流出桃花湾。	桃花流水合荆溪，夜雨春波拍断堤。
车上的帷幕隐没了远处坚固河堤。	遥遥翠幰没金堤	翠幰金车锦骆驼	匹马迢遥历翠微	遥遥禁院金莲烛
在檐前飘动的丝网上，蜘蛛来回爬动。	上有蜘蛛巧来往	时有幽人自来往	蜘蛛纵巧不离罗	结网小蛛恣来往
冲破峡谷若雷霆在滚动。	擘开苍峡吼奔雷	波涛漰湃吼奔雷	船头雪浪吼奔雷	倒峡崩崖吼万雷
很开心地欣赏东面的门窗。	愉悦偃东扉	东阁敞闲扉	东林自掩扉	东城掩暮扉
黄昏杂草丛生的园中鸟照飞。	鸟下绿芜秦苑夕	秦苑绿芜催夕照	梁苑宫残锁绿芜	雨馀秦苑绿芜合
你我就像相隔云霄。	遂成云霄隔	遂成隔世期	渐与云霄隔	云霄终竟隔
竹子的喧哗声已经表明大雨即将来临。	竹喧先觉雨	林喧觉雨来	荷喧知过雨	林高雨竹喧
无事登上高楼远望。	高楼聊引望	高台聊一望	高楼慵引望	高楼一拟望
桃李何必多言。	桃李竟何言	桃李竟无言	桃李岂须言	秾李亦何言
常常在阶前缓步而行。	阶前每缓行	阶前采草行	缓屧当车行	缓缓引之行
而是为了游览名山大川，因此才想去剡中这个地方。	自爱名山入剡中	山人自爱名山好	正爱看山入剡中	自爱江山入画图
空闲的庭院种上芍药邀请国老。	莳药闲庭延国老	庭闲好和老坡诗	病多全仗药延年	药笼秖今多国老
纵有返魂树也不能使人还魂回生。	返魂无验青烟灭	返魂无力去偷香	谄魂尽逐残星灭	返魂香竟无消息
君臣相顾泪湿衣衫。	君臣相顾尽沾衣	君臣相顾不胜悲	使君双泪定沾衣	君臣相对但沾襟
半夜看到屋檐上的一片寒光，以为是曙色从帘幕透过来。	五更晓色来书幌	五更寒色早来过	松堂夜色摇书幌	绝怜曙色侵书幌
中原一代的人民纷纷向南边逃亡。	永嘉遂南奔	中原乱永嘉	昼永随南陆	南归继永嘉
春天来了，湖上缭绕着烟霭，带有浓重的湿意。	春着湖烟腻	晓看春云腻	湖烟晴似染	春色冷湖头
在晴日阳光照耀下，西湖水波荡漾，光彩熠熠，美极了。	水光潋滟晴方好	水光泼眼晴方好	湖光潋滟春光暖	波光潋滟待晴来
哪能忍受让它沾染路上灰尘。	翠叶那堪染路尘	客路红尘心半染	不将翠袖染缁尘	初疑叶上缁尘染
荧荧的灯烛照着她一人孤眠。	灯烛荧荧照孤寝	灯烛荧荧照夜阑	孤灯寒竹自荧荧	红烛荧荧照夜阑
近年来豪饮的兴致衰败难以勉强。	年来饮兴衰难强	强饭年来幸未衰	年来为减寻诗兴	况复年来筋力衰
暮色苍茫，山村孤寂。	寒色孤村幕	孤村树色寒	寒食孤村外	寒色孤村暮
我亦想借您梦得“池塘生春草”的佳句。	梦得池塘生春草	好梦池塘春草生	池塘春草梦中生	料得池塘春草歇
湘娥把泪珠洒满斑竹，九天素女也牵动满腔忧愁。	江娥啼竹素女愁	靓妆宫女愁啼竹	楚娥啼竹泪痕斑	江上湘娥愁暮竹
如一叶孤舟在险恶的十八滩头飘零。	十八滩头一叶身	十八滩头上水舟	十八滩头泛一舠	清风十八滩头景
雨中，眼看着那样繁多的黄菊花，怎能使你的衣袖装满呢？	采采黄金花，何由满衣袖。	采采泽中蓝，制为金翠衣。	仙子矞云衣，采得金花草。	黄花香裛露，采采满东篱。
我这一生已渐渐老去，要说隐居的高致，那是远远比不上您这位高人。	吾生嫌已老，学圃未如君。	穷老宁须叹，吾生得已多。	老圃吾能及，平生学在兹。	君才犹未用，吾老更焉如。
于是招来山林的嘲讽。	遂贻山林嘲	早遂山林志	山林托疲苶	遂欲久山林
韩信还在淮南依靠漂母的接济为生。	来投漂母作主人	我去还谁作主人	劝使东来作主人	君合西湖作主人
麦苗不开花不多枯黄死。	麦苗不秀多黄死	麦苗堆绿菜花黄	夏麦原看未秀黄	出土麦苗还自秀
什么地方能找到你的行迹？	何处寻行迹	何处寻仙迹	何处觅行云	何处寻芳迹
我想见你这位东坡的旧居士。	想见东坡旧居士	此是东坡居士云	想见墙东病居士	想见东林如旧日
巍峨高耸，蔚为壮观。	挂君高堂之素壁	高堂素壁静时看	高挂君家旧筑堂	且挂高斋一壁间
迈开大步登上四明高顶。	高步陵四明	高步即严凝	山有四明高	高步须堂奥
池塘河潢不敢眷顾。	池潢不敢顾	污池不赴壑	池荷不敢红	临水不敢照
阔大的庭院中回旋着低缓的箫声，送走了流逝的时光。	萧声吹日色	萧森无日色	风声吹日寒	萧萧夕吹外
回家重聚有一天多了。	还家一日余	还家一日程	还他一日长	还家一日馀
我还感觉我就像百草一样从春天泥土里萌生。	春泥百草生	春泥活蕙草	春深池草生	春风绿草生
湘水各处深浅不同，傅郎此去可以亲自践历。	湘波各深浅	白水有深浅	沅湘波浪深	含思各深浅
不要让敌人一兵一马从战场上逃回。	莫遣沙场匹马还	莫遣东郊马喷沙	但道沙场无匹马	沙场风急来胡马
远眺夕照山林间。	回晖眺林际	回风促晚晖	延眺及林坰	林际明斜景
运势尚且如此。	大运且如此	大道原如此	时运方如此	大化已如此
火盆的火已经灭了，加点火，烤烤被子。	灰宿温瓶火，香添暖被笼。	香篝添宿大，昼永陷垆灰。	拨灰添宿火，一快爇松柯。	灰宿温瓶火，香添煖被笼。
刘邦的军队已经攻占了楚国的土地。	汉兵已略地	蕃汉共刀兵	汉地急徵兵	汉兵将灭虏
纵横交错的树林，静候着白鹤飞回。	横林待鹤归	隔林期鹤返	林疏见鹤归	高林待归鹤
古之名剑——干将和莫邪什么时候可以相合呢？	张公两龙剑，神物合有时。	未有苍龙剑，神光射斗牛。	何时成会合，双剑郁龙蟠。	延津双玉虹，神物合雌雄。
祖国的大好河山和原来没有什么不同。	山河风景元无异	山河风景已非吴	河山风景伤无异	河山风景异般般
可怜了一个品性高洁的书香小姐。	可怜金玉质	可怜金石友	可怜碧玉沼	莫将金玉质
玩到兴尽就满意地下山去。	兴尽方下山	兴尽燕山下	山公兴未尽	已尽山阴兴
她好像是在与人说着什么，其实她是在自言自语。	碧纱如烟隔窗语	碧纱窗迥淡如烟	楼船不隔碧纱烟	疏帘如雾隐窗纱
兴致往往是清秋招致的氛围。	兴是清秋发	试发清秋兴	高兴复清秋	清秋发高兴
春日岩石上，瀑布哗然响，夜色已深沉，群山归寂寥，明月照松林，松林碧如洗。	春岩瀑泉响	瀑响千岩应	岩泉响涧潭	岩壁寒泉响
我如今更似杜陵翁。	晚年更似杜陵翁	莫年身似杜陵翁	休笑当年杜陵老	闭门慵似杜陵翁
他们无非是敲诈勒索，抢劫财物，你藏在哪里都逃不过他们的眼睛。	徧收宝货无藏处	地藏宝鼎宁无祲	遍搜宝货无藏处	地宝无容久瘗藏
仿佛听到了黄帝咸池优美的乐声。	粗识轩辕奏乐声	轩辕奏乐洞庭滨	房中乐奏汉新声	镗鞳轩皇奏乐声
共曾相语已含悲辛。	未语含悲辛	欲语更悲辛	醉语动辛酸	惟应语诉辛
如今的秦桥只见鱼儿吹沫戏玩。	鱼沫吹秦桥	紫水鱼吹浪	鱼沫吹帘影	鱼沫吹还息
意欲攀龙却忽然自天落下。	攀龙忽堕天	驱龙起洞天	攀龙不异天	龙飞忽上天
满怀愁绪梦里静听猿啼悠长。	愁听清猿梦里长	愁听清猿和白云	梦馀愁听短长更	梦回恰好听清猿
然而天地又被笼括进太虚。	太虚可包括	万象太虚中	广可包三极	太虚宁可颜
但那些小人却不懂得谦虚、不争是一种美德，反而鱼目混珠，不分优劣，把劣质的当成好的，把美玉当成引以为耻的东西。	鱼目笑之卞和耻	卞和刖后方售玉	卞和未雪荆山耻	献璧求知笑卞和
何必远远地打听她的林下风致。	林下何须逺借问	行处不须劳借问	林下何须候白衣	行客不须重借问
我年老而疏白的鬓发飘在清凉风中。	我来飒衰鬓	衰鬓先年来	衰鬓忽萧飒	风巾鬓飒衰
有一只野鹘，在佛塔上空盘旋回互。	但见野鹘盘浮图	高原无际见盘雕	青山影里见浮图	但见中间浮岛屿
道路遥遥东望没有尽头。	东出青门路不穷	出门蹊路失东西	咫尺东西路不赊	路出荆门不断山
持酒对饮坐看日已黄昏。	把酒相看日又曛	把酒相看醉不违	尊酒相看又夕晖	把酒相看日未曛
居延城外胡人正在狩猎。	居延城外猎天骄	关外数州城不猎	居延城外候烽烟	居延城外又移军
畅饮在清风吹拂的竹林。	清风坐竹林	清风满竹林	清风自竹林	清风旧竹林
为你唱一曲阳春白雪吧，可是不见你的踪迹，你听到了吗。	寄君郢中歌	清绝郢中歌	寄我郢中吟	坐闻郢中歌
打开窗户躺卧在幽静宽敞的地方。	开轩卧闲敞	开轩闲玩久	开轩闲隐几	开轩藉深稳
我虽有万死不辞的报国之志。	一身报国有万死	报国但知身有死	一死能明报国心	报国惭虽万死轻
织有花纹的绫罗更是难上加难。	变缉撩机苦难织	化机巧织尘难污	愁机懒织同心豆	织文机学羽难飘
村庄里的桑树都长出了嫩芽。	柔桑过村坞	桑麻略辨村	桑柘千村晚	桑竹穿村巷
织它的是什么人，穿它的又是谁。	织者何人衣者谁	车下短衣歌者谁	来者何人往者谁	绣衣使者知何取
这一生就喜欢踏上名山游。	一生好入名山游	一入名山似玉壶	相携可入名山游	平生雅爱入山游
只见洪波浩渺远连云霞。	渺漫连云霞	杳渺绝云天	渺渺入云斜	渺渺水连天
一再解释说，酒味为什么淡薄，是由于田地没人去耕耘。	莫辞酒味薄，黍地无人耕。	李苦少人摘，酒醇无巷深。	莫嫌村酒薄，且喜了秋耕。	幸有官厨酒，曾无负郭田。
年秋天只好再踏上赴京之路，今日与君话别，明日山高水长。	明朝下元复西道，崆峒叙别长如天。	明朝无限东西路，马首仍怜各一天。	见说明朝却西去，长亭挥手恨无由。	除书昨日来乌府，明朝又上西江路。
流浪漂泊，离都城已越来越远。	十年蹴踘将雏远	十年鱼雁将家远	十年蹴鞠将雏远	将归远客已三年
敌军就像回家一样投降了。	降虏来如归	降虏将军思	降虏自壶浆	降虏意何如
赐浴温泉的，都是些高冠长缨的贵人。	赐浴皆长缨	阙下请长缨	却念请长缨	禁路赐缨彯
到处开垦耕种。	耕种满郊岐	种麻冀满丘	农庆满郊墟	耕种满东皋
不遇山僧谁解我心疑。	不遇山僧知问谁	问道山僧谁是主	问著山僧总不知	不向山僧问碧纱
苟且偷生，四处漂泊只有我这一位老人，如今兴兵伐叛已经历了三朝。	偷生唯一老，伐叛已三朝。	一疾那知死，三朝竟不醒。	汝惟拚一死，天欲祸三吴。	干诛非一事，伐叛自先朝。
我们只有无奈地道别。	乃至雁门关	暮出雁门关	将别雁门师	行觅雁门关
只要把高尚的节操留在人世间。	要留清白在人间	只留清白在人间	但留清白与人看	偶留清怨在人间
听远处横笛声声悲鸣呜咽。	遥闻横笛声	忽闻横笛音	遥闻横笛音	但闻渔笛声
眼前憔悴形，珠光宝气锁芳根。	芳根閟颜色	草木无颜色	颜色靡春风	颜色在根荄
或许这北方的梅花，在经历了战争烽烟后，也梦想着能够植根于林逋的孤山梅园中吧？	只恐江南春意减，此心元不为梅花。	只有梅花见天意，先将春色到人间。	多情夜夜江南梦，不为梅花便为君。	独有梅花看不厌，江南春色故园心。
谢安正要邀请东山妓女。	谢公正要东山妓	谢公携妓东山去	谢公虽有东山妓	谢公岂久东山趣
文名武功两无成。	书剑两无成	书剑讶无成	去住两无成	书剑老何成
叫人怎么好去把公婆拜见？	何以拜姑嫜	俛首拜姑嫜	君此拜姑嫜	恐烦姑与嫜
船中载着千斛美酒和美艳的歌妓。	美酒樽中置千斛	美酒输君閒百斛	美酒当山为满樽	歌楼美酒三千斛
还以为是汉宫月明。	徘徊犹作汉宫看	犹自低徊说故宫	知君犹恋汉宫恩	光影徘徊别汉宫
山村的溪流由于水深，雪落下去就融化了。	溪深难受雪	难受雪霜寒	前溪雪已深	溪深客到难
犹如一对亲昵的小儿女轻言细语。	昵昵儿女语	婚姻谢儿女	儿女至情语	勿效儿女语
出了山就浑浊了。	出山泉水浊	井出深山水	出山泉水浑	山泉与溪水
目睹军情激扬万分。	感激无时闲	感激时将晚	感激不能无	感激芳时谢
至今还歌唱《白符鸠》深深哀悼。	犹唱白符鸠	齐唱白铜鞮	还唱白铜鞮	听唱白符鸠
凋落的时候才知道此身只如幻相。	开时不解比色相，落后始知如幻身。	何曾幻相是如来，好眼当从幻处开。	见在自知都是幻，投时谩道不如人。	悟得此身如幻泡，始知遗蜕是生天。
边关的烽火并没有越过三秦。	边烽不过秦	边烽不举狼	边烽幸不传	边烽无野战
圣人贤人几乎凋亡一空。	贤圣几凋枯	贤哲几沦亡	贤圣有遗迹	贤达几消沉
春风凛冽，吹动着挂在树枝上的酒旗。	亚树青帘动	青帘树杪楼	拂墙花树动	烟树出青帘
曾经在条支海中洗过兵器上的污秽。	洗兵条支海上波	条支西去波无极	洗兵无复望条支	海波息处销兵后
夜色笼罩在巍峨的群山上，远远的看去，就好像一个颜色。	千峰同一色	千峰多秀色	江山同一色	千峰带秋色
清凉的早晨，山鸡在荒林中啼叫。	寒鸡号荒林	寒鸡隔树起	荒鸡号五点	寒树带鸡鸣
水鸟捉到鱼儿总是心满意足。	水鸟得鱼长自足	鱼鸟飞沉得自由	鸟飞鱼泳方自得	釜里有鱼长自足
百鸟聚集在天边飞来飞去。	飞鸟去不穷	飞鸟一不度	飞鸟去何极	飞鸟去无极
沙丘傍边弥漫着白色的雾气。	沙旁歊素烟	沙外见人烟	沙石欲生烟	沙暖出疏烟
远处，重重叠叠的青山似乎阻住了江水的去路，船转了个弯，眼前又见到无尽的江水，江上成片的白帆正渐渐逼近过来。	青山缭绕疑无路，忽见千帆隐映来。	乱山环绕疑无路，却望人家岭上村。	石盘洞口疑无路，水绕山根忽有桥。	峰峦环合疑无路，草木蒙茸忽见村。
明月映照着东城草。	月明东城草	东城草虽绿	月代东城客	明月禁城中
武帝对她娇宠万分，即使她的唾沫落下，也会被看做像珠玉那样珍贵。	咳唾落九天，随风生珠玉。	碧云从天来，清风落君手。	咳唾生珠玉，才名沽上驰。	破壁虹蜺出，随风珠玉分。
这场大风使妻儿同意我在此地暂住。	此风聊得妻孥忏	支饥聊复盼妻孥	安得妻孥在眼前	痴聋且脱妻孥累
思乡的游客人人悲伤落泪。	远客思乡皆泪垂	北客思乡泪欲垂	远客思乡却自侬	怀古思乡两行泪
春风吹拂着花花草草。	春风动百草	春风百卉摇	春风百草香	春风香百草
桃花嫣红，春水碧绿，烟笼柳堤，水浴鸳鸯。	桃花春水渌	桃花春水涨	春岸桃花水	桃花春水深
言语九译方可通。	咿嗢九译重	九重思晓奏	九重应震悼	九重泉路邈
今晚我听你弹奏琵琶诉说衷情。	今夜闻君琵琶语	夜深听雨琵琶洲	不闻商女琵琶声	青楼夜半琵琶语
到明年即使被贬到更远地方。	明年纵便量移去	明年定复西归去	年年纵有春风便	明年莫便还家去
延陵季子有把珍贵的宝剑。	延陵有宝剑	张华有宝剑	延陵空赠剑	延陵虚宝剑
梁间的燕子，窃窃私语。	梁间玄鸟语	山上无鸟语	燕子梁间语	鸟向花间语
雨过天晴山腰间大象出没。	山腹雨晴添象迹	雨久晴来山转翠	山径雨馀留虎迹	松径雨晴添虎迹
只有相思的别恨像无边的春色。	唯有相思似春色	唯有旧时春草色	别时春色长相似	惟有相思似春色
一年到头，家中只剩下锄头。	岁暮锄犁傍空室	田夫望岁抛锄立	岁暮空山双树下	终岁锄犁犹不饱
这种情况不改变，不拟回头望故乡。	不拟回头望故乡	回望故乡归不得	不用回头望故山	不堪回首望乡情
我白白学了屠龙的本领，如今却束手无策。	学就屠龙空束手	学得屠龙长缩手	啖名漫学屠龙技	治鱼学就学屠龙
虽然他的长城宏伟浩大，高接云天。	虽然万里连云际	青霄万里暮云平	焉知万里连云色	莽连万里云一去
迎面飞舞而来的花瓣呢。	对面即飞花	盏面起花时	对面两菱花	对酒飞花深
拉上根根红色琴弦？	縆以朱丝弦	玉轸朱丝弦	得藉朱丝弦	道以朱丝重
清清江面上夕阳晚霞随波飘摇，山歌婉转动听，体态妖冶苗条。	落日清江里，荆歌艳楚腰。	落日千山暮，清江万里流。	沅江收暮霭，楚女发清歌。	落日晴江里，荆歌艳楚腰。
祖国的河山千年万世永存。	山河千古在	空山千古在	河山千古在	山河千古痛
那枝条带着故乡的情意。	为带故乡情	犹带故乡春	长系故乡情	别有故乡情
清香的松树叶可以用来酿造甘甜的美酒，春天已经来临，不知这种美酒你到底酿造了多少呢？	松叶堪为酒，春来酿几多。	种秫多为酒，客来须共斟。	试问陶家酒，新篘得几多。	松花春酿酒，桐叶夜题诗。
把它栽在半月形的花盆里，培上香泥，浇上水。	水灌香泥却月盘	新泥滑滑路盘盘	陂水芹香紫燕泥	水满盘中月在天
一旦有了风它还会漫天飞扬。	有风还满空	飘飖正满空	有风空动树	有风还自掩
仍因堕泪碑而感到悲伤。	犹悲堕泪碣	遗民堕泪碑	碑残犹堕泪	上有堕泪碑
船过黄州，风帆浴着冰冷的日光。	一帆寒日过黄州	一帆寒日过梅村	一帆风雨到杭州	一帆风软过扬州
正当中午，炎炎烈日当空。	炎炎日正午	赤日午炎盛	此日炎炎极	炎炎夏日徂
不慕世人灿烂前程。	谁羡前程未可涯	数程犹未到天涯	肯念前程杳未期	升沉谁复问前程
遍地黄茅的尽头便是海边。	望尽黄茆是海边	黄茅望断瘴云边	望尽黄茅是海边	望尽云山粤海边
慈乌啊慈乌。	慈乌复慈乌	慈乌孝且灵	无复慈乌哺	林乌反哺慈
趁此春宵要及时行乐。	行乐须及春	行行及好春	行乐及佳辰	客行须及春
春天到了，我却没有出游的玩伴。	春来无伴闲游少	春来结伴共闲行	欲作闲游无好伴	春来无伴与猖狂
傍晚的溪边，渔樵乘船回村。	薄暮渔樵乘水入	薄暮归渔认拥蓑	薄暮归来渔火闹	薄暮渔樵人去尽
清明后梨花会生长。	梨花自寒食	寒食梨花月	梨花度寒食	梨花寒食后
统一大业终究难以完成。	中原逐鹿不由人	中原逐鹿不因人	中原逐鹿人谁是	中原逐鹿我何堪
我的归宿在哪里。	生子不知根	本根不知处	生长不知春	生疼世不知
在万里炎荒之地频频回首往事。	炎荒万里频回首	此时万里休回首	征途百里频回首	南游万里频回首
不知银河离这里还有多远？	银汉去安在	汉苑人何在	银汉去几许	亭伯去安在
落花好似有情意，飘来荡去，紧随船儿朝前流。	落花如有意，来去逐船流。	落花如有情，片片还随影。	落花真有意，时解拂行鞯。	落花如有意，飞逐马蹄尘。
云梦泽由天寒而迷濛幽深。	天寒梦泽深	天寒江海深	天寒木叶深	天寒梦泽秋
到明天岁月更新就是新的一年。	明日岁华新	明朝岁华改	明日逢新岁	来日岁华新
公侯们个个想像王浚梦刀升迁那样离开那里。	个个公卿欲梦刀	个个长于金错刀	真个愁来真似梦	不愿公卿属个人
帷幔和翠色的羽被被撒上郁金香料。	罗帷翠被郁金香	罗帷绣被卧春风	象床鸳被郁金香	缕金罗袖郁金裙
如果说唐玄宗真认为杨贵妃具有倾覆邦国之能。	君王若道能倾国	到得君王识倾国	谁道君王大有为	可惜君王损国威
泾溪里面礁石很险浪很急，人们路过的时候都非常小心，所以终年都不会听到有人不小心掉到里面淹死的消息。	泾溪石险人兢慎，终岁不闻倾覆人。	泾溪石险人竞惧，终岁不闻倾覆人。	水溯安流舟不难，人心自畏石头顽。	补天石烂畴能炼，陷泞车深不易推。
我吩咐童仆尽力地砍开杂木野草。	命童恣披翦	行酒命芝童	拂野恣离披	有时命童子
为官出游却随江水滚滚飘然东入海。	宦游直送江入海	吟寄韩江入海间	堪笑宦游江海客	又送江流入海东
我也曾为学道而钻研道经与学仙。	余尝学道穷冥筌	学道穷年何所得	学道通玄两未便	读书学道好穷源
不知她心里究竟恨的是谁。	不知心恨谁	问我心恨谁	不知谁最恨	知心者是谁
你张弓可摧南山虎。	弓摧南山虎	愿縳南山虎	弓摧宜山虎	左殪南山虎
白云泉啊，你又何必冲下山去，给原本多事的人间在添波澜。	何必奔冲山下去，更添波浪向人间。	故人避暑焦山去，门外长江浊浪奔。	可惜寒声留不得，旋添波浪向人间。	衔石奈何填弗尽，至今波浪大如山。
深广，壮丽的贵族府里按着节拍演歌舞。	朱门沉沉按歌舞	回首朱门歌舞地	朱门歌舞争新态	朱门几处看歌舞
我们俩同是天涯沦落的可悲人。	同是天涯沦落人	同是天涯浪迹人	合是天涯沦落客	同是天涯沦落客
一湾清澈的江水，岸边碧柳千条，回想起二十年前在这旧板桥上的事。	清江一曲柳千条，二十年前旧板桥。	苍茫二十三年后，来看桥边旧柳条。	他时怕唱清江曲，二十年前旧板桥。	松江桥畔阚名园，一别重游二十年。
交河南北向流淌着。	交河南北流	关河异南北	官河长北流	河汉西南流
我现在停下酒杯且一问之。	我今停杯一问之	且为停杯一问天	太白停杯以问之	我试停杯一问之
悲哀泪水沿着帽带滚流。	零泪缘缨流	志士泪缘缨	涕泪沿眶流	遗言可泪流
明月高高地照耀着鳷鹊楼。	明月还过鳷鹊楼	鳷鹊楼前月正明	月明还上武昌楼	待渠明月过楼来
凌准的才气又使家族名冠江南。	英气方在斯	斯文元气在	意气今安在	英气今何在
树头升起的初日象挂着铜钲。	树头初日挂铜钲	城头初日始翻鸦	树头初日照西檐	山颠初日挂铜钲
遥远天边的颜色青翠鲜明。	青冥天倪色	晦冥天色变	冥冥天地色	青荧天色同
 如春风再入这里的黄池河。	春风入黄池	春风自入城	春风入孔壖	春风入河济
一株枯瘦萧条的柳树。	萧条柳一株	萧条五柳枝	萧条杨柳枝	一种萧条色
说句公道话，梅花须逊让雪花三分晶莹洁白，雪花却输给梅花一段清香。	梅须逊雪三分白，雪却输梅一段香。	梅开岂与雪相谋，雪到梅边分外幽。	雪逊无香梅逊白，雪消梅现旧头颅。	莫道白梅输雪白，梅开向雪占春魁。
浪荡的人啊，你从军十多年了。	荡子从戎十载馀	束发从戎十五年	荡子从戎不到家	十载从戎百战归
无法启行，想你想得我容颜消瘦。	思君令人瘦	游远令人瘦	想思为君瘦	思君令人老
白天短促很快便到夜晚。	急景忽云暮	忽忽岁云暮	三月忽云暮	岁事忽云暮
你是行僧象孤云和野鹤。	孤云将野鹤	孤云与独鹤	孤云悬野鸟	江云野鹤还
国家急需贤良之才。	国待贤良急	国器良有待	宰国推良器	报国求贤急
昨天屋内外还挤满了人。	昨日屋头堪炙手	昨日街头人卖饧	山头赤日炙手热	见说王门堪炙手
难得再有机会报答故人的深情。	难答故人情	不易故人情	便有故人情	难忘故国情
灯油将尽的灯焰闪朔着宛如鬼火的青光。	灯青兰膏歇	帘晃兰膏烛	灯青兰膏煖	风飘膏兰歇
指挥千军万马非曹参萧何能比。	指挥若定失萧曹	指挥廊庙失萧曹	管教得志失萧曹	指挥若定风云娈
金秋季节萧瑟寒风初起。	金天方肃杀	灏气肃金天	天方尊肃气	际天皆肃杀
王昭君不幸遇到了画家毛延寿，改变了命运。	昭君偏遇毛延寿	昭君莫怨毛延寿	近来喜黜毛延寿	汉庭莫罪毛延寿
魏国官员驱车载运铜人，直向千里外的异地。	魏官牵车指千里	鼓车未数汉千里	驱车千里入居庸	命蹇盐车千里马
一枝淡红的杏花探出墙头。	一枝红杏出墙头	一枝红杏出墙来	数枝红杏出疏篱	一枝带雨墙头出
面对这样的景致无从吟起。	水光山色不胜悲	水光山色不胜奇	水光山色恨难禁	水光山色解人愁
